Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender?,"In what year were you born? (enter 4-digit birth year; for example, 1976)",How many children do you have?,Which statement best matches your views on evolution?,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response
10814837742,238615316,06/21/2019 02:29:58 PM,06/21/2019 02:30:31 PM,,,,,a15512cf9a10fd5b4c0fc1a833,Female,1982,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10814825087,238615316,06/21/2019 02:22:29 PM,06/21/2019 02:22:52 PM,,,,,fda78f84f0aaa2323fd2132678,Female,1991,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10814824330,238615316,06/21/2019 02:18:26 PM,06/21/2019 02:22:28 PM,,,,,de0ce0545b5d0b307e4a2a0bd7,Female,1985,1,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10814806286,238615316,06/21/2019 02:10:10 PM,06/21/2019 02:12:46 PM,,,,,b07ed4b2719b7eea4c0eec7bd1,Female,1996,5 or more,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,Prefer not to answer,New England,iOS Phone / Tablet
10814804724,238615316,06/21/2019 02:11:00 PM,06/21/2019 02:12:01 PM,,,,,561dfec1eb8bdf488333df58cc,Female,1954,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$25,000-$49,999",East South Central,iOS Phone / Tablet
10814804262,238615316,06/21/2019 02:09:55 PM,06/21/2019 02:11:48 PM,,,,,e4098087382dc56f388847929d,Female,1961,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10814803671,238615316,06/21/2019 02:10:50 PM,06/21/2019 02:11:29 PM,,,,,e29a47782bf1cd9c4e7ce732eb,Female,1947,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$50,000-$74,999",West South Central,Windows Desktop / Laptop
10814802980,238615316,06/21/2019 02:10:05 PM,06/21/2019 02:11:10 PM,,,,,3285defccfc2a759229b464f27,Female,1959,None,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10814802851,238615316,06/21/2019 02:10:48 PM,06/21/2019 02:11:06 PM,,,,,dd5c230a2357da539c7c4675e3,Female,1974,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
10814802826,238615316,06/21/2019 02:10:24 PM,06/21/2019 02:11:05 PM,,,,,01f1922ef485d0939b91d71848,Female,1943,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10814802803,238615316,06/21/2019 02:10:30 PM,06/21/2019 02:11:04 PM,,,,,35bb62a7bb5884d0c0ccb2d8a6,Female,1959,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10814802795,238615316,06/21/2019 02:10:39 PM,06/21/2019 02:11:04 PM,,,,,10f78e0b549bbf05d94c46d262,Female,1947,1,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10814802571,238615316,06/21/2019 02:10:31 PM,06/21/2019 02:10:58 PM,,,,,373f53b465b3540684c73f136a,Male,1965,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$0-$9,999",South Atlantic,Android Phone / Tablet
10814802475,238615316,06/21/2019 02:09:51 PM,06/21/2019 02:10:55 PM,,,,,f42773a23d5d7d5f811f3c107c,Female,1948,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10814802465,238615316,06/21/2019 02:10:32 PM,06/21/2019 02:10:54 PM,,,,,e8482eb18f5dc5742ff0632b05,Female,1962,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$75,000-$99,999",West North Central,iOS Phone / Tablet
10814802158,238615316,06/21/2019 02:10:17 PM,06/21/2019 02:10:45 PM,,,,,0187e5533386e4f3a81d73545b,Female,1954,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,Prefer not to answer,Pacific,Other
10814801989,238615316,06/21/2019 02:10:08 PM,06/21/2019 02:10:40 PM,,,,,51ab9f33c34137f2fb53e0f637,Female,1972,5 or more,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$0-$9,999",Pacific,Android Phone / Tablet
10814801735,238615316,06/21/2019 02:09:55 PM,06/21/2019 02:10:32 PM,,,,,8cc2c55ee14b44764820cba539,Female,1949,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$25,000-$49,999",East North Central,Windows Desktop / Laptop
10814801439,238615316,06/21/2019 02:09:43 PM,06/21/2019 02:10:23 PM,,,,,c10d69eb2e9597b204fcdab118,Female,1942,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10814801070,238615316,06/21/2019 02:09:44 PM,06/21/2019 02:10:13 PM,,,,,91101ea9351fc0a4a44e629131,Female,1938,3,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,Prefer not to answer,Pacific,MacOS Desktop / Laptop
10814801031,238615316,06/21/2019 02:09:45 PM,06/21/2019 02:10:12 PM,,,,,80e3f5323b1ef64d9c5c429c3c,Female,1971,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$125,000-$149,999",West South Central,iOS Phone / Tablet
10814799824,238615316,06/21/2019 02:08:44 PM,06/21/2019 02:09:37 PM,,,,,3135e0b5c31f503551593fdd98,Female,1974,None,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$75,000-$99,999",West North Central,Android Phone / Tablet
10814770748,238615316,06/21/2019 01:54:45 PM,06/21/2019 01:55:54 PM,,,,,9b5dea085cad357439c7dbfc0e,Male,1990,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$75,000-$99,999",East South Central,Android Phone / Tablet
10814770120,238615316,06/21/2019 01:55:18 PM,06/21/2019 01:55:37 PM,,,,,f607f5f23396dd31d25ef3af4f,Male,1984,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$125,000-$149,999",Middle Atlantic,Android Phone / Tablet
10814770050,238615316,06/21/2019 01:55:01 PM,06/21/2019 01:55:35 PM,,,,,d782b86445bdd0a5b3cd7333e2,Male,1973,1,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$100,000-$124,999",East North Central,Android Phone / Tablet
10814769961,238615316,06/21/2019 01:55:10 PM,06/21/2019 01:55:32 PM,,,,,ec6ad82b69df799f5513f437f0,Male,1991,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,Prefer not to answer,East North Central,Android Phone / Tablet
10814769901,238615316,06/21/2019 01:54:57 PM,06/21/2019 01:55:28 PM,,,,,0fd545804bd65f722ef8c8c9b5,Male,1981,None,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$50,000-$74,999",Pacific,iOS Phone / Tablet
10814769130,238615316,06/21/2019 01:55:02 PM,06/21/2019 01:55:19 PM,,,,,4b2617504c5ccee0ad362ca22e,Male,1991,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10814768055,238615316,06/21/2019 01:54:21 PM,06/21/2019 01:55:14 PM,,,,,01acedf028a1ccf5f9ce96b538,Male,1977,None,Humans and other organisms have not changed since they were created.,30-44,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10814767905,238615316,06/21/2019 01:54:48 PM,06/21/2019 01:55:14 PM,,,,,1f856465a56d072854a27e02f9,Male,1997,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
10814766555,238615316,06/21/2019 01:54:40 PM,06/21/2019 01:55:02 PM,,,,,221dabd809df284def8dab6ca3,Male,1984,None,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10814766114,238615316,06/21/2019 01:54:36 PM,06/21/2019 01:55:00 PM,,,,,adec63f664683d8c3aa0ca9a28,Male,1995,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Male,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10814765917,238615316,06/21/2019 01:54:45 PM,06/21/2019 01:55:00 PM,,,,,bf492ba448f6e76068049709e2,Male,1995,1,Humans and other organisms have not changed since they were created.,18-29,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10814765232,238615316,06/21/2019 01:54:37 PM,06/21/2019 01:54:57 PM,,,,,8c706059e9ae8e1eb8e2e9acce,Male,1991,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Male,"$50,000-$74,999",Pacific,iOS Phone / Tablet
10814763526,238615316,06/21/2019 01:54:25 PM,06/21/2019 01:54:50 PM,,,,,f0b112321c449a479cf71b90cd,Male,1998,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$100,000-$124,999",New England,Android Phone / Tablet
10814762866,238615316,06/21/2019 01:54:21 PM,06/21/2019 01:54:47 PM,,,,,78ec9806e5526ca251e882d86d,Male,1994,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$25,000-$49,999",New England,iOS Phone / Tablet
10814757580,238615316,06/21/2019 01:53:47 PM,06/21/2019 01:54:12 PM,,,,,673e856060183a696ceee771c3,Male,2001,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$100,000-$124,999",South Atlantic,Android Phone / Tablet
10814718728,238615316,06/21/2019 01:45:47 PM,06/21/2019 01:46:10 PM,,,,,006a6889992e7b92773a874228,Female,2000,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,Prefer not to answer,East North Central,iOS Phone / Tablet
